Date,Open,Price,High,Low,Vol(M),Change%,
Jan 04 / 2021,12694.67,12950.22,12950.22,12537.42,242.64,-1.50,
Jan 05 / 2021,12802.38,12663.13,12809.67,12663.13,175.19,0.85,
Jan 06 / 2021,12623.35,12601.26,12803.29,12569.42,243.87,-1.40,
Jan 07 / 2021,12939.57,12745.41,12966.68,12744.82,215.74,2.51,
Jan 08 / 2021,13105.20,13037.24,13113.09,12939.73,220.39,1.28,
Jan 11 / 2021,12902.49,12961.50,13023.22,12883.59,196.99,-1.55,
Jan 12 / 2021,12892.09,12916.10,12957.43,12783.71,184.51,-0.08,
Jan 13 / 2021,12973.63,12911.87,13008.84,12878.02,207.31,0.63,
Jan 14 / 2021,12898.69,13010.94,13037.05,12886.16,198.57,-0.58,
Jan 15 / 2021,12803.93,12898.09,12941.29,12758.10,244.67,-0.73,
Jan 19 / 2021,12996.54,12921.61,13012.09,12861.30,208.17,1.50,
Jan 20 / 2021,13296.45,13155.11,13332.26,13138.31,209.51,2.31,
Jan 21 / 2021,13404.99,13356.70,13433.69,13297.79,195.49,0.82,
Jan 22 / 2021,13366.40,13356.18,13404.77,13336.90,185.53,-0.29,
Jan 25 / 2021,13483.29,13515.63,13563.70,13205.59,221.64,0.87,
Jan 26 / 2021,13490.19,13507.47,13536.30,13440.32,183.91,0.05,
Jan 27 / 2021,13112.65,13371.16,13393.51,13034.14,332.77,-2.80,
Jan 28 / 2021,13201.53,13163.32,13401.85,13150.10,259.13,0.68,
Jan 29 / 2021,12925.38,13124.70,13167.87,12845.43,285.52,-2.09,
Feb 01 / 2021,13248.90,13067.65,13280.22,12983.10,199.89,2.50,
Feb 02 / 2021,13456.12,13371.36,13501.23,13363.75,191.13,1.56,
Feb 03 / 2021,13402.37,13555.03,13561.45,13400.08,181.61,-0.40,
Feb 04 / 2021,13560.89,13454.85,13563.13,13406.44,195.08,1.18,
Feb 05 / 2021,13603.96,13592.77,13642.96,13527.81,172.27,0.32,
Feb 08 / 2021,13695.02,13672.33,13698.41,13607.96,181.11,0.67,
Feb 09 / 2021,13687.08,13667.14,13741.79,13664.70,151.60,-0.06,
Feb 10 / 2021,13655.27,13751.42,13770.91,13531.93,175.91,-0.23,
Feb 11 / 2021,13734.35,13723.63,13747.20,13637.19,156.64,0.58,
Feb 12 / 2021,13807.70,13695.90,13816.25,13656.78,137.79,0.53,
Feb 16 / 2021,13773.77,13841.03,13879.77,13726.77,168.06,-0.25,
Feb 17 / 2021,13699.71,13636.15,13713.14,13552.67,163.37,-0.54,
Feb 18 / 2021,13637.51,13556.01,13669.94,13477.17,169.46,-0.45,
Feb 19 / 2021,13580.78,13686.23,13701.69,13545.45,193.94,-0.42,
Feb 22 / 2021,13223.74,13414.04,13447.37,13220.77,215.67,-2.63,
Feb 23 / 2021,13194.71,12982.36,13259.85,12758.12,261.29,-0.22,
Feb 24 / 2021,13302.19,13095.86,13312.42,12971.82,214.77,0.81,
Feb 25 / 2021,12828.31,13197.75,13294.56,12773.76,260.93,-3.56,
Feb 26 / 2021,12909.44,12958.97,13090.36,12764.34,312.55,0.63,
Mar 01 / 2021,13282.95,13106.02,13293.78,13051.70,207.57,2.89,
Mar 02 / 2021,13059.95,13297.76,13301.62,13052.12,195.31,-1.68,
Mar 03 / 2021,12683.33,13020.10,13057.29,12679.89,230.65,-2.88,
Mar 04 / 2021,12464.00,12655.92,12799.08,12314.16,307.81,-1.73,
Mar 05 / 2021,12668.51,12594.16,12700.95,12208.39,302.02,1.64,
Mar 08 / 2021,12299.08,12629.56,12718.58,12287.57,273.33,-2.92,
Mar 09 / 2021,12794.49,12635.45,12868.52,12592.83,252.07,4.03,
Mar 10 / 2021,12752.07,12950.25,12979.38,12726.85,214.22,-0.33,
Mar 11 / 2021,13052.90,12960.53,13117.86,12920.00,211.63,2.36,
Mar 12 / 2021,12937.29,12873.39,12943.58,12778.12,184.56,-0.89,
Mar 15 / 2021,13082.54,12936.13,13085.01,12885.64,180.21,1.12,
Mar 16 / 2021,13152.28,13156.65,13297.48,13091.78,186.93,0.53,
Mar 17 / 2021,13202.38,13024.83,13280.29,12950.08,220.85,0.38,
Mar 18 / 2021,12789.14,13006.29,13040.36,12781.53,226.02,-3.13,
Mar 19 / 2021,12866.99,12792.67,12906.02,12704.07,575.60,0.61,
Mar 22 / 2021,13086.51,12943.14,13167.46,12943.14,209.33,1.71,
Mar 23 / 2021,13017.79,13127.17,13180.66,12993.50,203.45,-0.53,
Mar 24 / 2021,12798.88,13072.82,13077.49,12797.84,208.06,-1.68,
Mar 25 / 2021,12780.51,12707.58,12845.66,12627.92,216.99,-0.14,
Mar 26 / 2021,12979.12,12777.27,12992.30,12721.66,253.00,1.55,
Mar 29 / 2021,12965.74,12950.51,13013.48,12836.60,199.25,-0.10,
Mar 30 / 2021,12896.53,12904.01,12929.46,12798.03,172.81,-0.53,
Mar 31 / 2021,13091.44,12970.33,13167.06,12966.65,247.92,1.51,
Apr 01 / 2021,13329.51,13268.88,13333.41,13255.82,187.35,1.82,
Apr 05 / 2021,13598.16,13434.04,13623.60,13420.81,178.50,2.02,
Apr 06 / 2021,13578.46,13567.20,13660.29,13551.60,163.84,-0.14,
Apr 07 / 2021,13616.70,13553.90,13648.80,13532.63,144.11,0.28,
Apr 08 / 2021,13758.50,13730.73,13763.18,13703.51,163.89,1.04,
Apr 09 / 2021,13845.06,13709.67,13849.31,13674.92,160.65,0.63,
Apr 12 / 2021,13819.35,13792.74,13839.39,13747.63,178.22,-0.19,
Apr 13 / 2021,13986.49,13874.58,14002.53,13874.58,164.97,1.21,
Apr 14 / 2021,13803.91,13988.86,13990.54,13782.17,161.34,-1.31,
Apr 15 / 2021,14026.19,13934.87,14040.11,13931.01,177.92,1.61,
Apr 16 / 2021,14041.91,14035.96,14050.38,13966.54,194.73,0.11,
Apr 19 / 2021,13907.67,13970.83,14025.64,13835.75,177.42,-0.96,
Apr 20 / 2021,13809.30,13891.96,13934.89,13730.59,161.46,-0.71,
Apr 21 / 2021,13935.15,13768.92,13939.70,13717.44,166.85,0.91,
Apr 22 / 2021,13762.36,13920.88,13954.03,13716.76,172.74,-1.24,
Apr 23 / 2021,13941.44,13794.49,13989.43,13789.45,172.09,1.30,
Apr 26 / 2021,14026.16,13954.94,14039.40,13919.93,161.38,0.61,
Apr 27 / 2021,13960.28,14048.13,14048.34,13931.18,168.17,-0.47,
Apr 28 / 2021,13901.62,13953.61,13992.08,13895.15,199.19,-0.42,
Apr 29 / 2021,13970.20,14063.94,14073.48,13836.10,197.09,0.49,
Apr 30 / 2021,13860.76,13857.79,13969.20,13838.82,211.03,-0.78,
May 03 / 2021,13799.72,13923.04,13955.00,13784.66,166.87,-0.44,
May 04 / 2021,13544.67,13680.63,13705.38,13396.11,221.33,-1.85,
May 05 / 2021,13503.37,13649.12,13676.86,13478.58,180.30,-0.30,
May 06 / 2021,13613.73,13490.94,13617.33,13403.46,192.04,0.82,
May 07 / 2021,13719.63,13715.56,13814.66,13669.78,171.70,0.78,
May 10 / 2021,13359.08,13647.73,13648.49,13358.62,217.49,-2.63,
May 11 / 2021,13351.27,13102.64,13381.66,13094.76,207.66,-0.06,
May 12 / 2021,13001.63,13155.07,13236.89,12967.18,219.84,-2.62,
May 13 / 2021,13109.15,13133.73,13226.64,13006.77,195.42,0.83,
May 14 / 2021,13393.11,13238.99,13430.00,13220.18,175.04,2.17,
May 17 / 2021,13312.91,13329.86,13350.14,13196.57,159.03,-0.60,
May 18 / 2021,13217.68,13352.26,13400.52,13212.85,160.78,-0.72,
May 19 / 2021,13237.91,12998.53,13243.98,12994.35,201.19,0.15,
May 20 / 2021,13494.09,13294.59,13526.01,13293.10,185.10,1.94,
May 21 / 2021,13411.74,13573.22,13573.84,13401.53,173.17,-0.61,
May 24 / 2021,13641.75,13504.39,13687.60,13500.12,154.55,1.71,
May 25 / 2021,13657.73,13701.30,13734.41,13614.54,154.43,0.12,
May 26 / 2021,13702.74,13687.71,13726.06,13661.06,153.51,0.33,
May 27 / 2021,13657.85,13686.86,13724.76,13652.13,307.94,-0.33,
May 28 / 2021,13686.51,13717.00,13765.80,13684.83,164.33,0.21,
Jun 01 / 2021,13654.59,13764.27,13773.45,13602.12,157.44,-0.23,
Jun 02 / 2021,13675.79,13655.71,13712.68,13610.16,151.45,0.16,
Jun 03 / 2021,13529.68,13568.91,13608.54,13469.85,157.94,-1.07,
Jun 04 / 2021,13770.77,13619.79,13784.77,13613.58,148.48,1.78,
Jun 07 / 2021,13802.89,13744.15,13808.42,13710.11,158.49,0.23,
Jun 08 / 2021,13810.86,13873.46,13913.40,13746.42,171.52,0.06,
Jun 09 / 2021,13814.94,13865.51,13900.71,13811.05,142.01,0.03,
Jun 10 / 2021,13960.35,13834.26,13962.99,13817.83,161.47,1.05,
Jun 11 / 2021,13998.30,13959.47,13998.65,13934.00,138.26,0.27,
Jun 14 / 2021,14128.20,14002.14,14129.33,13963.94,152.38,0.93,
Jun 15 / 2021,14030.41,14120.81,14126.25,14008.93,139.28,-0.69,
Jun 16 / 2021,13983.01,14053.12,14100.11,13843.60,170.77,-0.34,
Jun 17 / 2021,14163.81,13946.70,14205.43,13946.52,190.93,1.29,
Jun 18 / 2021,14049.58,14125.12,14140.61,14024.60,403.49,-0.81,
Jun 21 / 2021,14137.23,14055.03,14150.91,13967.89,159.46,0.62,
Jun 22 / 2021,14270.42,14140.30,14288.49,14128.01,149.36,0.94,
Jun 23 / 2021,14274.24,14275.09,14324.74,14247.58,132.78,0.03,
Jun 24 / 2021,14365.96,14358.30,14429.14,14337.65,146.08,0.64,
Jun 25 / 2021,14345.18,14396.63,14401.71,14324.26,248.91,-0.14,
Jun 28 / 2021,14524.98,14401.63,14530.07,14400.59,152.05,1.25,
Jun 29 / 2021,14572.75,14523.63,14575.19,14481.84,139.36,0.33,
Jun 30 / 2021,14554.80,14560.07,14582.30,14530.87,174.74,-0.12,
Jul 01 / 2021,14560.05,14530.63,14576.64,14483.42,151.35,0.04,
Jul 02 / 2021,14727.63,14633.51,14738.14,14626.82,140.17,1.15,
